% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.146214	1	2	2	3.21423e-13	677.62	0
0.146214	1	3	3	5.12444e-14	108.033	0
0.147214	1	1	1	1.22723e-13	258.722	0
0.147214	1	2	2	3.21406e-13	677.583	0
0.147214	1	3	3	5.12398e-14	108.023	0
0.148214	1	1	1	1.22728e-13	258.734	0
0.148214	1	2	2	3.21389e-13	677.547	0
0.148214	1	3	3	5.12352e-14	108.013	0
0.149214	1	1	1	1.22734e-13	258.746	0
0.149214	1	2	2	3.21371e-13	677.51	0
0.149214	1	3	3	5.12306e-14	108.004	0
0.150214	1	1	1	1.2274e-13	258.758	0
0.150214	1	2	2	3.21354e-13	677.474	0
0.150214	1	3	3	5.12259e-14	107.994	0
0.151214	1	1	1	1.22745e-13	258.77	0
0.151214	1	2	2	3.21337e-13	677.437	0
0.151214	1	3	3	5.12213e-14	107.984	0
0.152214	1	1	1	1.22751e-13	258.782	0
0.152214	1	2	2	3.2132e-13	677.401	0
0.152214	1	3	3	5.12167e-14	107.974	0
0.153214	1	1	1	1.22757e-13	258.794	0
0.153214	1	2	2	3.21302e-13	677.365	0
0.153214	1	3	3	5.12121e-14	107.965	0
0.154214	1	1	1	1.22762e-13	258.806	0
0.154214	1	2	2	3.21285e-13	677.328	0
0.154214	1	3	3	5.12075e-14	107.955	0
0.155214	1	1	1	1.22768e-13	258.818	0
0.155214	1	2	2	3.21268e-13	677.292	0
0.155214	1	3	3	5.12029e-14	107.945	0
0.156214	1	1	1	1.22774e-13	258.83	0
0.156214	1	2	2	3.2125e-13	677.256	0
0.156214	1	3	3	5.11983e-14	107.935	0
0.157214	1	1	1	1.2278e-13	258.842	0
0.157214	1	2	2	3.21233e-13	677.219	0
0.157214	1	3	3	5.11937e-14	107.926	0
0.158214	1	1	1	1.22785e-13	258.854	0
0.158214	1	2	2	3.21216e-13	677.183	0
0.158214	1	3	3	5.11891e-14	107.916	0
0.159214	1	1	1	1.22791e-13	258.866	0
0.159214	1	2	2	3.21199e-13	677.146	0
0.159214	1	3	3	5.11844e-14	107.906	0
0.160214	1	1	1	1.22797e-13	258.878	0
0.160214	1	2	2	3.21181e-13	677.11	0
0.160214	1	3	3	5.11798e-14	107.897	0
0.161214	1	1	1	1.22802e-13	258.89	0
0.161214	1	2	2	3.21164e-13	677.074	0
0.161214	1	3	3	5.11752e-14	107.887	0
0.162214	1	1	1	1.22808e-13	258.902	0
0.162214	1	2	2	3.21147e-13	677.037	0
0.162214	1	3	3	5.11706e-14	107.877	0
0.163214	1	1	1	1.22814e-13	258.914	0
0.163214	1	2	2	3.2113e-13	677.001	0
0.163214	1	3	3	5.1166e-14	107.867	0
0.164214	1	1	1	1.22819e-13	258.926	0
0.164214	1	2	2	3.21112e-13	676.964	0
0.164214	1	3	3	5.11614e-14	107.858	0
0.165214	1	1	1	1.22825e-13	258.938	0
0.165214	1	2	2	3.21095e-13	676.928	0
0.165214	1	3	3	5.11568e-14	107.848	0
0.166214	1	1	1	1.22831e-13	258.95	0
0.166214	1	2	2	3.21078e-13	676.892	0
0.166214	1	3	3	5.11522e-14	107.838	0
0.167214	1	1	1	1.22836e-13	258.962	0
0.167214	1	2	2	3.21061e-13	676.855	0
0.167214	1	3	3	5.11476e-14	107.829	0
0.168214	1	1	1	1.22842e-13	258.974	0
0.168214	1	2	2	3.21043e-13	676.819	0
0.168214	1	3	3	5.1143e-14	107.819	0
0.169214	1	1	1	1.22848e-13	258.986	0
0.169214	1	2	2	3.21026e-13	676.782	0
0.169214	1	3	3	5.11384e-14	107.809	0
0.170214	1	1	1	1.22853e-13	258.998	0
0.170214	1	2	2	3.21009e-13	676.746	0
0.170214	1	3	3	5.11338e-14	107.799	0
0.171214	1	1	1	1.22859e-13	259.01	0
0.171214	1	2	2	3.20992e-13	676.71	0
0.171214	1	3	3	5.11292e-14	107.79	0
0.172214	1	1	1	1.22865e-13	259.022	0
0.172214	1	2	2	3.20974e-13	676.673	0
0.172214	1	3	3	5.11246e-14	107.78	0
0.173214	1	1	1	1.2287e-13	259.033	0
0.173214	1	2	2	3.20957e-13	676.637	0
0.173214	1	3	3	5.112e-14	107.77	0
0.174214	1	1	1	1.22876e-13	259.045	0
0.174214	1	2	2	3.2094e-13	676.601	0
0.174214	1	3	3	5.11154e-14	107.761	0
0.175214	1	1	1	1.22882e-13	259.057	0
0.175214	1	2	2	3.20923e-13	676.564	0
0.175214	1	3	3	5.11108e-14	107.751	0
0.176214	1	1	1	1.22887e-13	259.069	0
0.176214	1	2	2	3.20905e-13	676.528	0
0.176214	1	3	3	5.11062e-14	107.741	0
0.177214	1	1	1	1.22893e-13	259.081	0
0.177214	1	2	2	3.20888e-13	676.491	0
0.177214	1	3	3	5.11016e-14	107.732	0
0.178214	1	1	1	1.22899e-13	259.093	0
0.178214	1	2	2	3.20871e-13	676.455	0
0.178214	1	3	3	5.1097e-14	107.722	0
0.179214	1	1	1	1.22904e-13	259.105	0
0.179214	1	2	2	3.20854e-13	676.419	0
