% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
8.643	1	3	3	5324.8	0
8.681	1	1	1	5323.82	0
8.682	1	2	2	5323.29	0
8.683	1	3	3	5324.8	0
8.721	1	1	1	5323.81	0
8.722	1	2	2	5323.29	0
8.723	1	3	3	5324.8	0
8.761	1	1	1	5323.81	0
8.762	1	2	2	5323.29	0
8.763	1	3	3	5324.8	0
8.801	1	1	1	5323.81	0
8.802	1	2	2	5323.29	0
8.803	1	3	3	5324.8	0
8.841	1	1	1	5323.81	0
8.842	1	2	2	5323.29	0
8.843	1	3	3	5324.8	0
8.881	1	1	1	5323.81	0
8.882	1	2	2	5323.3	0
8.883	1	3	3	5324.8	0
8.921	1	1	1	5323.81	0
8.922	1	2	2	5323.3	0
8.923	1	3	3	5324.8	0
8.961	1	1	1	5323.81	0
8.962	1	2	2	5323.3	0
8.963	1	3	3	5324.8	0
9.001	1	1	1	5323.81	0
9.002	1	2	2	5323.3	0
9.003	1	3	3	5324.8	0
9.041	1	1	1	5323.81	0
9.042	1	2	2	5323.3	0
9.043	1	3	3	5324.8	0
9.081	1	1	1	5323.81	0
9.082	1	2	2	5323.3	0
9.083	1	3	3	5324.8	0
9.121	1	1	1	5323.81	0
9.122	1	2	2	5323.31	0
9.123	1	3	3	5324.8	0
9.161	1	1	1	5323.81	0
9.162	1	2	2	5323.31	0
9.163	1	3	3	5324.8	0
9.201	1	1	1	5323.81	0
9.202	1	2	2	5323.31	0
9.203	1	3	3	5324.8	0
9.241	1	1	1	5323.81	0
9.242	1	2	2	5323.31	0
9.243	1	3	3	5324.8	0
9.281	1	1	1	5323.81	0
9.282	1	2	2	5323.31	0
9.283	1	3	3	5324.8	0
9.321	1	1	1	5323.81	0
9.322	1	2	2	5323.32	0
9.323	1	3	3	5324.8	0
9.361	1	1	1	5323.81	0
9.362	1	2	2	5323.32	0
9.363	1	3	3	5324.8	0
9.401	1	1	1	5323.81	0
9.402	1	2	2	5323.32	0
9.403	1	3	3	5324.8	0
9.441	1	1	1	5323.81	0
9.442	1	2	2	5323.32	0
9.443	1	3	3	5324.8	0
9.481	1	1	1	5323.8	0
9.482	1	2	2	5323.32	0
9.483	1	3	3	5324.8	0
9.521	1	1	1	5323.8	0
9.522	1	2	2	5323.32	0
9.523	1	3	3	5324.8	0
9.561	1	1	1	5323.8	0
9.562	1	2	2	5323.33	0
9.563	1	3	3	5324.8	0
9.601	1	1	1	5323.8	0
9.602	1	2	2	5323.33	0
9.603	1	3	3	5324.8	0
9.641	1	1	1	5323.8	0
9.642	1	2	2	5323.33	0
9.643	1	3	3	5324.8	0
9.681	1	1	1	5323.8	0
9.682	1	2	2	5323.33	0
9.683	1	3	3	5324.8	0
9.721	1	1	1	5323.8	0
9.722	1	2	2	5323.33	0
9.723	1	3	3	5324.8	0
9.761	1	1	1	5323.8	0
9.762	1	2	2	5323.34	0
9.763	1	3	3	5324.8	0
9.801	1	1	1	5323.8	0
9.802	1	2	2	5323.34	0
9.803	1	3	3	5324.8	0
9.841	1	1	1	5323.8	0
9.842	1	2	2	5323.34	0
9.843	1	3	3	5324.8	0
9.881	1	1	1	5323.8	0
9.882	1	2	2	5323.34	0
9.883	1	3	3	5324.8	0
9.921	1	1	1	5323.8	0
9.922	1	2	2	5323.34	0
9.923	1	3	3	5324.8	0
9.961	1	1	1	5323.8	0
9.962	1	2	2	5323.34	0
9.963	1	3	3	5324.8	0
10.001	1	1	1	5324.11	0
10.002	1	2	2	5324.58	0
10.003	1	3	3	5324.74	0
10.041	1	1	1	5324.45	0
10.042	1	2	2	5325.01	0
10.043	1	3	3	5324.73	0
10.081	1	1	1	5324.44	0
10.082	1	2	2	5325	0
10.083	1	3	3	5324.73	0
10.121	1	1	1	5324.44	0
10.122	1	2	2	5325	0
10.123	1	3	3	5324.73	0
10.161	1	1	1	5324.44	0
10.162	1	2	2	5324.99	0
10.163	1	3	3	5324.73	0
10.201	1	1	1	5324.44	0
10.202	1	2	2	5324.98	0
10.203	1	3	3	5324.73	0
10.241	1	1	1	5324.44	0
10.242	1	2	2	5324.98	0
10.243	1	3	3	5324.73	0
10.281	1	1	1	5324.44	0
10.282	1	2	2	5324.97	0
10.283	1	3	3	5324.73	0
10.321	1	1	1	5324.44	0
10.322	1	2	2	5324.97	0
10.323	1	3	3	5324.73	0
10.361	1	1	1	5324.44	0
10.362	1	2	2	5324.96	0
10.363	1	3	3	5324.73	0
10.401	1	1	1	5324.44	0
10.402	1	2	2	5324.96	0
10.403	1	3	3	5324.73	0
10.441	1	1	1	5324.44	0
10.442	1	2	2	5324.95	0
10.443	1	3	3	5324.73	0
10.481	1	1	1	5324.44	0
10.482	1	2	2	5324.95	0
10.483	1	3	3	5324.73	0
10.521	1	1	1	5324.44	0
10.522	1	2	2	5324.94	0
10.523	1	3	3	5324.73	0
10.561	1	1	1	5324.44	0
10.562	1	2	2	5324.93	0
10.563	1	3	3	5324.73	0
10.601	1	1	1	5324.43	0
10.602	1	2	2	5324.93	0
10.603	1	3	3	5324.73	0
10.641	1	1	1	5324.43	0
10.642	1	2	2	5324.92	0
10.643	1	3	3	5324.73	0
10.681	1	1	1	5324.43	0
10.682	1	2	2	5324.92	0
10.683	1	3	3	5324.73	0
10.721	1	1	1	5324.43	0
10.722	1	2	2	5324.91	0
10.723	1	3	3	5324.73	0
10.761	1	1	1	5324.43	0
10.762	1	2	2	5324.91	0
10.763	1	3	3	5324.73	0
10.801	1	1	1	5324.43	0
10.802	1	2	2	5324.9	0
10.803	1	3	3	5324.73	0
10.841	1	1	1	5324.43	0
10.842	1	2	2	5324.89	0
10.843	1	3	3	5324.73	0
10.881	1	1	1	5324.43	0
10.882	1	2	2	5324.89	0
10.883	1	3	3	5324.73	0
10.921	1	1	1	5324.43	0
10.922	1	2	2	5324.88	0
10.923	1	3	3	5324.73	0
10.961	1	1	1	5324.43	0
10.962	1	2	2	5324.88	0
10.963	1	3	3	5324.73	0
11.001	1	1	1	5324.43	0
11.002	1	2	2	5324.87	0
11.003	1	3	3	5324.73	0
11.041	1	1	1	5324.43	0
11.042	1	2	2	5324.86	0
11.043	1	3	3	5324.73	0
11.081	1	1	1	5324.43	0
11.082	1	2	2	5324.86	0
11.083	1	3	3	5324.73	0
11.121	1	1	1	5324.43	0
11.122	1	2	2	5324.85	0
11.123	1	3	3	5324.73	0
11.161	1	1	1	5324.42	0
11.162	1	2	2	5324.85	0
11.163	1	3	3	5324.73	0
11.201	1	1	1	5324.42	0
11.202	1	2	2	5324.84	0
11.203	1	3	3	5324.73	0
11.241	1	1	1	5324.42	0
11.242	1	2	2	5324.83	0
11.243	1	3	3	5324.73	0
11.281	1	1	1	5324.42	0
11.282	1	2	2	5324.83	0
11.283	1	3	3	5324.73	0
11.321	1	1	1	5324.42	0
11.322	1	2	2	5324.82	0
11.323	1	3	3	5324.73	0
11.361	1	1	1	5324.42	0
11.362	1	2	2	5324.82	0
11.363	1	3	3	5324.73	0
11.401	1	1	1	5324.42	0
11.402	1	2	2	5324.81	0
11.403	1	3	3	5324.73	0
11.441	1	1	1	5324.42	0
11.442	1	2	2	5324.8	0
11.443	1	3	3	5324.73	0
11.481	1	1	1	5324.42	0
11.482	1	2	2	5324.8	0
11.483	1	3	3	5324.73	0
11.521	1	1	1	5324.42	0
11.522	1	2	2	5324.79	0
11.523	1	3	3	5324.73	0
11.561	1	1	1	5324.42	0
11.562	1	2	2	5324.79	0
11.563	1	3	3	5324.73	0
11.601	1	1	1	5324.42	0
